n_rows, n_cols, n_processes, time
120, 60000, 1, 0.048639
240, 60000, 1, 0.097946
360, 60000, 1, 0.146609
480, 60000, 1, 0.196778
600, 60000, 1, 0.244976
720, 60000, 1, 0.293614
840, 60000, 1, 0.346346
960, 60000, 1, 0.399222
1080, 60000, 1, 0.474581
1200, 60000, 1, 0.574846
120, 60000, 2, 0.033589
240, 60000, 2, 0.064665
360, 60000, 2, 0.098036
480, 60000, 2, 0.130471
600, 60000, 2, 0.162403
720, 60000, 2, 0.196372
840, 60000, 2, 0.234777
960, 60000, 2, 0.268954
1080, 60000, 2, 0.313711
1200, 60000, 2, 0.351405
120, 60000, 6, 0.023146
240, 60000, 6, 0.044860
360, 60000, 6, 0.067019
480, 60000, 6, 0.088649
600, 60000, 6, 0.110839
720, 60000, 6, 0.139221
840, 60000, 6, 0.166415
960, 60000, 6, 0.194861
1080, 60000, 6, 0.224675
1200, 60000, 6, 0.252963
120, 60000, 12, 0.017196
240, 60000, 12, 0.040000
360, 60000, 12, 0.056231
480, 60000, 12, 0.075203
600, 60000, 12, 0.097214
720, 60000, 12, 0.117763
840, 60000, 12, 0.142864
960, 60000, 12, 0.167711
1080, 60000, 12, 0.193693
1200, 60000, 12, 0.220509
120, 60000, 24, 0.461788
240, 60000, 24, 0.710199
360, 60000, 24, 0.687960
480, 60000, 24, 0.964521
600, 60000, 24, 0.995121
720, 60000, 24, 1.226585
840, 60000, 24, 1.415591
960, 60000, 24, 1.614342
1080, 60000, 24, 1.521893
1200, 60000, 24, 1.811301
